game_id,season,team,point_diff,wins,turnover_diff,off_pass_epa,off_rush_epa,def_pass_epa,def_rush_epa,home,dome,temp,wind
2002_03_WAS_SF,2002,WAS,-10,0,-1,-0.064480764,-0.445607126,-0.294289401,0.244202047,0,0,65,5
2002_04_CAR_GB,2002,CAR,-3,0,-3,0.062411796,-0.117726224,-0.024430719,-0.180656511,0,0,65,5
2002_04_CAR_GB,2002,GB,3,1,3,-0.024430719,-0.180656511,0.062411796,-0.117726224,1,0,65,5
2002_04_CHI_BUF,2002,BUF,6,1,-1,0.45609085,-0.415272823,0.406661418,-0.346017237,1,0,66,12
2002_04_CHI_BUF,2002,CHI,-6,0,1,0.406661418,-0.346017237,0.45609085,-0.415272823,0,0,66,12
2002_04_CLE_PIT,2002,CLE,-3,0,0,-0.11938398,-0.005399666,0.102891691,-0.213499934,0,0,64,0
2002_04_CLE_PIT,2002,PIT,3,1,0,0.102891691,-0.213499934,-0.11938398,-0.005399666,1,0,64,0
2002_04_DAL_STL,2002,DAL,3,1,1,0.032571655,-0.124935531,0.021935537,-0.299865664,0,1,70,0
2002_04_DAL_STL,2002,LA,-3,0,-1,0.021935537,-0.299865664,0.032571655,-0.124935531,1,1,70,0
2002_04_DEN_BAL,2002,BAL,11,1,-2,0.075886338,-0.321311108,0.009188715,0.036941437,1,0,71,0
2002_04_DEN_BAL,2002,DEN,-11,0,2,0.009188715,0.036941437,0.075886338,-0.321311108,0,0,71,0
2002_04_HOU_PHI,2002,HOU,-18,0,0,-0.332806361,-0.03015639,-0.006705617,0.120164897,0,0,64,10
2002_04_HOU_PHI,2002,PHI,18,1,0,-0.006705617,0.120164897,-0.332806361,-0.03015639,1,0,64,10
2002_04_MIA_KC,2002,KC,18,1,0,0.599297217,-0.167426931,-0.051924978,0.091724651,1,0,76,10
2002_04_MIA_KC,2002,MIA,-18,0,0,-0.051924978,0.091724651,0.599297217,-0.167426931,0,0,76,10
2002_04_MIN_SEA,2002,MIN,-25,0,-1,-0.19491648,0.429201753,0.1665652,0.229697021,0,0,59,6
2002_04_MIN_SEA,2002,SEA,25,1,1,0.1665652,0.229697021,-0.19491648,0.429201753,1,0,59,6
2002_04_NE_SD,2002,NE,-7,0,-2,0.062057156,-0.022262309,-0.229551956,0.305962207,0,0,67,8
2002_04_NE_SD,2002,LAC,7,1,2,-0.229551956,0.305962207,0.062057156,-0.022262309,1,0,67,8
2002_04_NO_DET,2002,DET,5,1,3,0.223341911,-0.465239991,-0.022285845,0.020525997,1,1,70,0
2002_04_NO_DET,2002,NO,-5,0,-3,-0.022285845,0.020525997,0.223341911,-0.465239991,0,1,70,0
2002_04_NYG_ARI,2002,ARI,14,1,3,0.21634961,-0.319137412,-0.388942659,-0.250322241,1,0,90,13
2002_04_NYG_ARI,2002,NYG,-14,0,-3,-0.388942659,-0.250322241,0.21634961,-0.319137412,0,0,90,13
2002_04_NYJ_JAX,2002,JAX,25,1,4,0.400593146,0.201568405,-0.093185499,-0.52046985,1,0,87,6
2002_04_NYJ_JAX,2002,NYJ,-25,0,-4,-0.093185499,-0.52046985,0.400593146,0.201568405,0,0,87,6
2002_04_TB_CIN,2002,CIN,-28,0,1,-0.718434349,-0.10371488,0.012632923,-0.218169404,1,0,76,6
2002_04_TB_CIN,2002,TB,28,1,-1,0.012632923,-0.218169404,-0.718434349,-0.10371488,0,0,76,6
2002_04_TEN_OAK,2002,LV,27,1,3,0.382633515,-0.120811104,0.096487809,-0.200765768,1,0,68,9
2002_04_TEN_OAK,2002,TEN,-27,0,-3,0.096487809,-0.200765768,0.382633515,-0.120811104,0,0,68,9
2002_05_ARI_CAR,2002,ARI,3,1,3,-0.037116043,-0.268586287,-0.085951548,-0.550321079,0,0,74,9
2002_05_ARI_CAR,2002,CAR,-3,0,-3,-0.085951548,-0.550321079,-0.037116043,-0.268586287,1,0,74,9
2002_05_BAL_CLE,2002,BAL,5,1,4,0.482254328,-0.086582727,0.00310162,-0.05975088,0,0,65,8
2002_05_BAL_CLE,2002,CLE,-5,0,-4,0.00310162,-0.05975088,0.482254328,-0.086582727,1,0,65,8
2002_05_CIN_IND,2002,CIN,-7,0,-2,-0.091750084,0.369742082,0.094304863,-0.002956911,0,1,70,0
